doc,query,pq_q_recall,pq_q_ap,q_weight_perc,pq_q_results_jacc,pq_q_results_cosine,pq_results_ap,q_results_ap,pq_results_prec,q_results_prec
AP880623-0294,174,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.9968158556544633,0.12048192771084337,0.10266303308471983,1.0,0.9
AP880917-0104,148,0.0,0.0,0.0,0.0,0.9946348050884067,0.0011363636363636363,0.018506493506493506,0.1,0.5
AP880721-0095,172,0.0,0.0,0.0,0.0,0.9947682037835224,0.0,0.025,0.0,0.1
AP880721-0095,173,0.5,0.5,0.22580645161290322,0.17647058823529413,0.9969025637503871,0.04016928610524669,0.043295019157088124,0.9,0.9
AP880721-0095,125,0.2,0.25,0.22580645161290322,0.0,0.9957514724026605,0.02266081871345029,0.07368421052631578,0.4,0.7
AP890424-0284,195,0.25,0.2857142857142857,0.3448275862068966,0.0,0.9924615274341827,0.024999999999999998,0.0,0.4,0.0
AP890412-0121,133,0.3333333333333333,0.3333333333333333,0.25,0.0,0.9952018136016575,0.0,0.5213675213675214,0.0,0.7
AP880528-0031,144,0.0,0.0,0.0,0.0,0.9925589443319244,0.0,0.003401360544217687,0.0,0.1
AP880409-0180,142,0.125,0.023809523809523808,0.08108108108108109,0.0,0.9858761929228531,0.0210447373393802,0.007227891156462584,0.9,0.3
AP880321-0288,169,0.0,0.0,0.0,0.0,0.9923264026548662,0.0,0.03645833333333333,0.0,0.2
AP880609-0179,129,0.2,0.07142857142857142,0.08163265306122448,0.0,0.9905946615609259,0.019461077844311378,0.023952095808383235,0.4,0.4
AP880609-0179,149,0.0,0.0,0.0,0.0,0.992094861747034,0.0,0.04145408163265306,0.0,0.3
AP891218-0158,150,0.0,0.0,0.0,0.0,0.9881724541023662,0.0,0.0423728813559322,0.0,1.0
AP891205-0198,117,0.14285714285714285,0.05,0.08080808080808081,0.0,0.9866062333517438,0.09808429118773945,0.05935960591133004,0.5,0.4
AP890308-0220,158,0.125,0.25,0.19402985074626866,0.0,0.993497096381388,0.0,0.0,0.0,0.0
AP880401-0072,148,0.0,0.0,0.0,0.0,0.9944171122266949,0.045454545454545456,0.018506493506493506,1.0,0.5
AP890406-0119,142,0.0,0.0,0.0,0.0,0.9887880611907475,0.0,0.007227891156462584,0.0,0.3
AP890302-0037,158,0.125,0.25,0.17307692307692307,0.0,0.9936755072696096,0.0,0.0,0.0,0.0
AP890209-0263,191,0.0,0.0,0.0,0.0,0.9892503037597464,0.007874015748031496,0.003937007874015748,0.1,0.1
AP880622-0299,197,0.0,0.0,0.0,0.0,0.9929256860025599,0.0,0.02040816326530612,0.0,0.2
AP890218-0025,110,0.25,0.08095238095238096,0.15384615384615385,0.0,0.9923248808446242,0.011449489356466102,0.010071367048111233,0.7,0.6
AP890410-0259,152,0.0,0.0,0.0,0.0,0.9916795826614322,0.03215434083601286,0.008360128617363344,1.0,0.4
AP881013-0147,193,0.0,0.0,0.0,0.0,0.9925062149393109,0.013888888888888888,0.08333333333333333,0.2,1.0
AP890902-0140,130,0.16666666666666666,0.027777777777777776,0.06097560975609756,0.0,0.9939928992113893,0.043859649122807015,0.012922932330827069,1.0,0.6
AP890902-0140,145,0.0,0.0,0.0,0.0,0.9912434352146703,0.02330097087378641,0.07218369548466635,0.4,0.8
AP880930-0069,138,0.16666666666666666,0.025,0.0784313725490196,0.0,0.9951501647380553,0.0,0.002777777777777778,0.0,0.1
AP890629-0038,142,0.0,0.0,0.0,0.0,0.9937884899116928,0.0257853835978836,0.007227891156462584,0.9,0.3
AP890629-0038,143,0.25,0.125,0.10344827586206896,0.0,0.9944714193397054,0.014167906746031746,0.00390625,0.6,0.1
AP880802-0131,151,0.0,0.0,0.0,0.0,0.9932397982966573,0.0,0.07604166666666666,0.0,0.7
AP880321-0151,146,0.0,0.0,0.0,0.0,0.9968405706154803,0.022392113095238093,0.018368055555555558,0.8,0.8
AP890228-0135,156,0.0,0.0,0.0,0.0,0.994743311096342,0.00909090909090909,0.020329485329485326,0.3,0.8
AP890228-0135,151,0.0,0.0,0.0,0.0,0.9940923343814411,0.0,0.07604166666666666,0.0,0.7
AP880725-0117,123,0.0,0.0,0.0,0.05263157894736842,0.9952906848565667,0.0,0.04104308390022675,0.0,0.4
AP880725-0117,160,0.0,0.0,0.0,0.0,0.9929689110250328,0.011965811965811967,0.019230769230769232,0.2,0.1
AP880725-0117,122,0.14285714285714285,0.16666666666666666,0.3125,0.0,0.9939950742656362,0.005555555555555555,0.025,0.1,0.1
AP880725-0117,121,0.3333333333333333,0.5,0.3125,0.0,0.9923938492455344,0.0,0.0,0.0,0.0
AP880725-0117,124,0.2,0.25,0.3125,0.0,0.9941509938502252,0.016522988505747124,0.0827175697865353,0.3,0.6
AP880725-0117,135,0.14285714285714285,0.025,0.052083333333333336,0.0,0.9933444148218992,0.05333333333333334,0.03166666666666667,0.4,0.3
AP880725-0117,198,0.14285714285714285,0.03125,0.052083333333333336,0.0,0.9926953950972562,0.07706766917293233,0.06765873015873015,0.6,0.8
AP880727-0195,198,0.0,0.0,0.0,0.0,0.9932662295968379,0.022478070175438597,0.06765873015873015,0.3,0.8
AP880727-0195,135,0.0,0.0,0.0,0.0,0.9942344807869625,0.022777777777777775,0.03166666666666667,0.3,0.3
AP880321-0121,127,0.2,0.03571428571428571,0.07352941176470588,0.0,0.9941859493637687,0.0012121212121212121,0.00808080808080808,0.1,0.2
AP890712-0128,189,0.0,0.0,0.0,0.0,0.9917117301136869,0.0006298815822625346,0.006585861857970702,0.2,0.8
AP890713-0202,140,0.0,0.0,0.0,0.0,0.9911223783034497,0.0,0.027999999999999997,0.0,0.2
AP890713-0202,155,0.16666666666666666,0.125,0.1206896551724138,0.0,0.9917004649117689,0.0,0.0,0.0,0.0
AP880706-0326,183,0.3333333333333333,0.16666666666666666,0.12280701754385964,0.0,0.9951433396433282,0.14408014571949,0.16393442622950818,0.9,1.0
AP890722-0115,155,0.3333333333333333,0.13333333333333333,0.17391304347826086,0.0,0.991712426717553,0.0,0.0,0.0,0.0
AP890509-0192,195,0.125,0.07142857142857142,0.15384615384615385,0.0,0.9941417501239306,0.0356359649122807,0.0,0.7,0.0
AP890509-0192,105,0.0,0.0,0.0,0.0,0.9859859858293043,0.08706108706108705,0.0,0.4,0.0
AP890426-0210,192,0.6666666666666666,0.6666666666666666,0.3611111111111111,0.0,0.9955364315821075,0.02559191274275073,0.026429901569566375,0.6,0.6
AP890426-0210,154,0.5,0.5,0.2222222222222222,0.0,0.9952574156360643,0.01017989417989418,0.011473544973544976,0.6,0.7
AP890626-0240,181,0.05555555555555555,0.02564102564102564,0.13253012048192772,0.05263157894736842,0.994013244088893,0.0,0.02,0.0,0.1
AP890626-0240,160,0.0,0.0,0.0,0.0,0.9941302744043264,0.0,0.019230769230769232,0.0,0.1
AP890202-0029,190,0.125,0.125,0.1724137931034483,0.0,0.9919616397714279,0.0,0.0,0.0,0.0
AP880226-0015,200,0.0,0.0,0.0,0.0,0.9863106802493555,0.0,0.20267602767602766,0.0,0.9
AP890127-0050,152,0.0,0.0,0.0,0.0,0.9894807567356477,0.0,0.008360128617363344,0.0,0.4
AP891130-0175,189,0.0,0.0,0.0,0.0,0.9943634445900008,0.004796998164345103,0.006585861857970702,0.6,0.8
AP890107-0063,151,0.0,0.0,0.0,0.1111111111111111,0.9971158606455922,0.01145833333333333,0.07604166666666666,0.3,0.7
AP890407-0256,167,0.0625,0.01515151515151515,0.09836065573770492,0.0,0.9897718033132928,0.0,0.030000000000000002,0.0,0.3
AP890407-0256,187,0.0,0.0,0.0,0.0,0.9906793185710921,0.008746355685131194,0.0060090702947845805,0.2,0.3
AP891208-0225,169,0.0,0.0,0.0,0.0,0.9912579546648909,0.0,0.03645833333333333,0.0,0.2
AP880825-0156,118,0.0,0.0,0.0,0.0,0.9927255511639844,0.01451018117684784,0.006102693602693603,0.4,0.3
AP880825-0156,120,0.0,0.0,0.0,0.0,0.991723001516071,0.0,0.0,0.0,0.0
AP880825-0156,119,0.0,0.0,0.0,0.0,0.9916935498800439,0.009762900976290099,0.013966925682406853,0.3,0.5
AP880702-0133,144,0.0,0.0,0.0,0.0,0.9886242686713186,0.0,0.003401360544217687,0.0,0.1
AP890123-0224,144,0.3333333333333333,0.375,0.3225806451612903,0.0,0.9921512738966276,0.03134920634920634,0.003401360544217687,0.4,0.1
AP890608-0152,161,0.0,0.0,0.0,0.0,0.9939948020089457,0.04786967418546366,0.06281477503282015,0.7,0.9
AP880629-0144,197,0.0,0.0,0.0,0.0,0.9916772769823007,0.026455026455026454,0.02040816326530612,0.2,0.2
AP880629-0144,199,0.0,0.0,0.0,0.0,0.9911204064337977,0.0,0.0,0.0,0.0
AP880629-0144,125,0.0,0.0,0.0,0.0,0.9903245969429303,0.0,0.07368421052631578,0.0,0.7
AP880908-0188,161,0.5,0.125,0.08064516129032258,0.1111111111111111,0.9953303268128575,0.07518796992481203,0.06281477503282015,1.0,0.9
AP890803-0059,132,0.0,0.0,0.0,0.0,0.9906229039526186,0.020072992700729927,0.06496350364963505,0.3,0.9
AP880325-0237,165,0.16666666666666666,0.08333333333333333,0.15,0.0,0.9917588233240386,0.0,0.12866666666666668,0.0,0.4
AP880513-0101,113,0.25,0.0625,0.10344827586206896,0.0,0.9951926327673718,0.0,0.003125,0.0,0.1
AP880513-0101,101,0.0,0.0,0.0,0.0,0.9938179472707159,0.0,0.04673721340388007,0.0,0.3
AP880513-0101,102,0.0,0.0,0.0,0.0,0.9947385954511148,0.0,0.19104010025062654,0.0,0.6
AP880513-0101,114,0.25,0.0625,0.10344827586206896,0.0,0.9937426701386142,0.005871725383920506,0.0,0.2,0.0
AP891009-0097,198,0.0,0.0,0.0,0.0,0.9918950055242832,0.02631578947368421,0.06765873015873015,0.2,0.8
AP891009-0097,124,0.2,0.125,0.1780821917808219,0.0,0.991617365694098,0.05172413793103448,0.0827175697865353,0.3,0.6
AP890512-0173,101,0.2222222222222222,0.07619047619047618,0.14285714285714285,0.05263157894736842,0.9964261575486882,0.0940623162845385,0.04673721340388007,0.4,0.3
AP890703-0137,157,0.0,0.0,0.0,0.0,0.9948266500248185,0.0,0.30416666666666664,0.0,0.7
AP880920-0044,166,0.0,0.0,0.0,0.1111111111111111,0.9964406704380825,0.3242690058479532,0.21929824561403505,0.7,0.5
AP880920-0044,186,0.0,0.0,0.0,0.0,0.9932058906665842,0.0,0.023255813953488372,0.0,0.1
AP880920-0044,191,0.0,0.0,0.0,0.0,0.9932517695335186,0.0,0.003937007874015748,0.0,0.1
AP890405-0035,153,0.25,0.06481481481481481,0.14285714285714285,0.0,0.9928024712918186,0.0,0.12963320463320463,0.0,0.6
AP881118-0110,140,0.0,0.0,0.0,0.0,0.9913708447169564,0.0,0.027999999999999997,0.0,0.2
AP881118-0110,130,0.0,0.0,0.0,0.0,0.9916546119027407,0.0,0.012922932330827069,0.0,0.6
AP890727-0011,167,0.0,0.0,0.0,0.0,0.9950570010503593,0.016666666666666666,0.030000000000000002,0.1,0.3
AP890414-0086,152,0.0,0.0,0.0,0.0,0.989945564282177,0.006951462256928494,0.008360128617363344,0.4,0.4
AP880809-0056,163,0.0,0.0,0.0,0.0,0.9893698856501089,0.0,0.1282051282051282,0.0,1.0
AP880809-0056,167,0.0625,0.045454545454545456,0.125,0.0,0.9942650779454902,0.0,0.030000000000000002,0.0,0.3
AP881123-0283,162,0.5,0.08333333333333333,0.05,0.0,0.9943846036915756,0.02462121212121212,0.013257575757575756,0.3,0.2
AP891215-0107,152,0.1111111111111111,0.04,0.09876543209876543,0.0,0.9908665422268796,0.028938906752411574,0.008360128617363344,0.9,0.4
AP880225-0196,189,0.0,0.0,0.0,0.0,0.9932117737085818,0.001417233560090703,0.006585861857970702,0.2,0.8
AP890308-0225,155,0.0,0.0,0.0,0.0,0.9893659346005502,0.0,0.0,0.0,0.0
AP881119-0060,144,0.0,0.0,0.0,0.0,0.9860089079683082,0.0,0.003401360544217687,0.0,0.1
AP880827-0141,183,0.0,0.0,0.0,0.0,0.9892329504102921,0.0,0.16393442622950818,0.0,1.0
AP890202-0234,176,0.0,0.0,0.0,0.0,0.9935828433016765,0.007142857142857143,0.028511904761904763,0.1,0.6
AP891104-0005,146,0.0,0.0,0.0,0.0,0.9964179054242124,0.02266989087301587,0.018368055555555558,0.8,0.8
AP881206-0121,137,0.0,0.0,0.0,0.0,0.9938275971519835,0.04638447971781305,0.12427983539094649,0.5,0.8
AP880421-0310,195,0.25,0.21428571428571427,0.2916666666666667,0.0,0.9939861091079631,0.0038377192982456134,0.0,0.2,0.0
AP880220-0009,181,0.0,0.0,0.0,0.0,0.9921746231295947,0.0,0.02,0.0,0.1
AP881027-0126,153,0.25,0.13888888888888887,0.2153846153846154,0.1111111111111111,0.9949143382553685,0.0,0.12963320463320463,0.0,0.6
AP890925-0191,188,0.0,0.0,0.0,0.0,0.9941969291324634,0.014925373134328358,0.1293117744610282,0.1,0.9
AP890107-0088,146,0.0,0.0,0.0,0.0,0.9948823289643419,0.012488839285714284,0.018368055555555558,0.7,0.8
AP881129-0210,155,0.0,0.0,0.0,0.0,0.9930641864878214,0.0,0.0,0.0,0.0
AP881129-0210,145,0.16666666666666666,0.08333333333333333,0.12121212121212122,0.05263157894736842,0.9940404350535946,0.07399059947603637,0.07218369548466635,0.8,0.8
AP891130-0220,187,0.0,0.0,0.0,0.0,0.9952193527877636,0.0006802721088435375,0.0060090702947845805,0.1,0.3
AP891223-0097,189,0.0,0.0,0.0,0.0,0.9949576134842933,0.00037792894935752074,0.006585861857970702,0.1,0.8
AP890430-0036,108,0.3333333333333333,0.06666666666666667,0.07246376811594203,0.0,0.9959526858382968,0.017375886524822696,0.0070921985815602835,0.3,0.2
AP890430-0036,141,0.2,0.4,0.391304347826087,0.1111111111111111,0.9954761632089086,0.0,0.007575757575757575,0.0,0.1
AP880428-0135,148,0.0,0.0,0.0,0.0,0.9943632033577211,0.004393939393939394,0.018506493506493506,0.3,0.5
AP880428-0135,182,0.16666666666666666,0.05555555555555555,0.12903225806451613,0.0,0.9940377153576302,0.0,0.13469932844932841,0.0,0.8
AP891219-0099,185,0.16666666666666666,0.05555555555555555,0.09722222222222222,0.0,0.9954644638690637,0.07210506424792139,0.07428571428571429,0.9,0.8
AP891219-0099,103,0.5,0.08333333333333333,0.09722222222222222,0.0,0.9952153923057412,0.08560606060606062,0.0391053391053391,0.7,0.5
AP890404-0141,137,0.0,0.0,0.0,0.0,0.9904781874948967,0.0,0.12427983539094649,0.0,0.8
AP890404-0141,192,0.6666666666666666,0.2619047619047619,0.22727272727272727,0.0,0.9955327153583314,0.0029795158286778397,0.026429901569566375,0.2,0.6
AP890404-0141,154,0.5,0.25,0.1590909090909091,0.0,0.9954942490497938,0.008492063492063492,0.011473544973544976,0.5,0.7
AP891124-0188,142,0.0,0.0,0.0,0.0,0.9869476891047555,0.004712301587301587,0.007227891156462584,0.3,0.3
AP891124-0188,143,0.0,0.0,0.0,0.0,0.9831599941871022,0.0,0.00390625,0.0,0.1
AP880312-0006,142,0.0,0.0,0.0,0.0,0.9898007729787726,0.005952380952380952,0.007227891156462584,0.2,0.3
AP880312-0006,143,0.0,0.0,0.0,0.0,0.9888435166025674,0.021344866071428572,0.00390625,0.6,0.1
AP891208-0058,126,0.0,0.0,0.0,0.0,0.9917308023786019,0.0,0.01979565772669221,0.0,0.4
AP890505-0258,187,0.0,0.0,0.0,0.0,0.9917936106977079,0.02312925170068027,0.0060090702947845805,0.4,0.3
AP891211-0031,144,0.16666666666666666,0.03125,0.07017543859649122,0.0,0.9903121056420611,0.0,0.003401360544217687,0.0,0.1
AP890626-0132,154,0.5,0.5,0.14583333333333334,0.0,0.993037838561184,0.01417283950617284,0.011473544973544976,0.8,0.7
AP890211-0142,121,0.0,0.0,0.0,0.0,0.9900709337906038,0.020833333333333332,0.0,0.1,0.0
AP890525-0147,174,0.0,0.0,0.0,0.0,0.9936603095644039,0.002008032128514056,0.10266303308471983,0.1,0.9
AP890525-0147,192,0.6666666666666666,0.27777777777777773,0.2222222222222222,0.05263157894736842,0.994935881690565,0.0,0.026429901569566375,0.0,0.6
AP890525-0147,154,0.5,0.16666666666666666,0.1111111111111111,0.0,0.9935099135954965,0.0020423280423280425,0.011473544973544976,0.3,0.7
AP880706-0299,157,0.0,0.0,0.0,0.0,0.992248697704068,0.0,0.30416666666666664,0.0,0.7
AP891130-0014,101,0.1111111111111111,0.047619047619047616,0.1,0.0,0.9922252086451788,0.0,0.04673721340388007,0.0,0.3
AP880325-0087,176,0.0,0.0,0.0,0.0,0.9937839422362905,0.007142857142857143,0.028511904761904763,0.1,0.6
AP890128-0016,150,0.0,0.0,0.0,0.0,0.9841137989931035,0.0,0.0423728813559322,0.0,1.0
AP891023-0111,193,0.0,0.0,0.0,0.0,0.9918434919643816,0.04672619047619047,0.08333333333333333,0.7,1.0
AP881026-0117,193,0.0,0.0,0.0,0.0,0.9912211072723136,0.0,0.08333333333333333,0.0,1.0
AP880627-0153,142,0.125,0.08333333333333333,0.15384615384615385,0.0,0.9929616477637497,0.019540107709750565,0.007227891156462584,0.7,0.3
AP881116-0010,159,0.0,0.0,0.0,0.0,0.990643893625569,0.0,0.55,0.0,0.3
AP880916-0032,179,0.16666666666666666,0.06666666666666667,0.10294117647058823,0.0,0.9917398873368601,0.0,0.029268292682926828,0.0,0.2
AP880916-0032,142,0.0,0.0,0.0,0.0,0.9943556872174848,0.003720238095238095,0.007227891156462584,0.2,0.3
AP881204-0007,119,0.0,0.0,0.0,0.0,0.9916674852241546,0.0,0.013966925682406853,0.0,0.5
AP890719-0025,163,0.6,0.525,0.3333333333333333,0.5384615384615384,0.9993040013425505,0.1282051282051282,0.1282051282051282,1.0,1.0
AP890719-0025,123,0.0,0.0,0.0,0.0,0.9912068062803118,0.025170068027210883,0.04104308390022675,0.3,0.4
AP880421-0166,188,0.0,0.0,0.0,0.0,0.9949096306803127,0.0,0.1293117744610282,0.0,0.9
AP880530-0182,194,0.0,0.0,0.0,0.0,0.9944304432060486,0.0,0.0018796992481203006,0.0,0.1
AP890728-0157,114,0.5,0.20833333333333331,0.22857142857142856,0.1111111111111111,0.9963716184766539,0.006775067750677506,0.0,0.3,0.0
AP890419-0139,188,0.0,0.0,0.0,0.0,0.989128915063092,0.0,0.1293117744610282,0.0,0.9
AP880608-0215,164,0.16666666666666666,0.06666666666666667,0.12,0.0,0.9898785171912695,0.0,0.08940242763772176,0.0,0.5
AP890202-0227,159,0.3333333333333333,0.1111111111111111,0.11428571428571428,0.0,0.9920970839191658,0.0,0.55,0.0,0.3
AP890422-0040,192,0.3333333333333333,0.16666666666666666,0.14035087719298245,0.0,0.9940068176963719,0.03747893943424669,0.026429901569566375,0.8,0.6
AP890422-0040,154,0.0,0.0,0.0,0.05263157894736842,0.9938320731274465,0.01591358024691358,0.011473544973544976,0.8,0.7
AP880823-0204,162,0.0,0.0,0.0,0.0,0.994153116238828,0.002840909090909091,0.013257575757575756,0.1,0.2
AP890523-0136,166,0.0,0.0,0.0,0.0,0.9936431594786311,0.0,0.21929824561403505,0.0,0.5
AP890729-0052,192,0.3333333333333333,0.1111111111111111,0.11363636363636363,0.0,0.9931832918739134,0.0,0.026429901569566375,0.0,0.6
AP890729-0052,154,0.5,0.16666666666666666,0.11363636363636363,0.0,0.9925251174681105,0.01812081128747795,0.011473544973544976,0.9,0.7
AP880914-0112,155,0.16666666666666666,0.25,0.15384615384615385,0.0,0.9932296764816638,0.0,0.0,0.0,0.0
AP880502-0077,130,0.16666666666666666,0.03571428571428571,0.0625,0.0,0.9941988425404221,0.019322612085769977,0.012922932330827069,0.6,0.6
AP880502-0077,145,0.16666666666666666,0.0625,0.109375,0.0,0.9927675412686784,0.009708737864077669,0.07218369548466635,0.1,0.8
AP890518-0144,140,0.0,0.0,0.0,0.0,0.9906175709698893,0.0,0.027999999999999997,0.0,0.2
AP891127-0132,148,0.0,0.0,0.0,0.0,0.9936354906405225,0.03797438672438672,0.018506493506493506,0.9,0.5
AP890927-0033,119,0.0,0.0,0.0,0.0,0.9934370959147187,0.0041841004184100415,0.013966925682406853,0.1,0.5
AP891108-0155,179,0.0,0.0,0.0,0.0,0.9929559859985675,0.0,0.029268292682926828,0.0,0.2
AP891120-0176,139,0.25,0.21428571428571427,0.28,0.05263157894736842,0.9967400892482864,0.02127659574468085,0.005319148936170213,0.1,0.1
AP881001-0081,150,0.25,0.08333333333333333,0.09782608695652174,0.0,0.9849544433646547,0.0,0.0423728813559322,0.0,1.0
AP881111-0167,163,0.8,1.0,0.5238095238095238,0.42857142857142855,0.998721341842199,0.1282051282051282,0.1282051282051282,1.0,1.0
AP881121-0106,199,0.0,0.0,0.0,0.0,0.9931840600061608,0.0,0.0,0.0,0.0
AP880823-0008,116,0.0,0.0,0.0,0.0,0.9882608273379943,0.0,0.0,0.0,0.0
AP880320-0047,126,0.2,0.25,0.18,0.0,0.9947461544147381,0.0,0.01979565772669221,0.0,0.4
AP880802-0073,178,0.5,0.5,0.20689655172413793,0.05263157894736842,0.9925387956400434,0.0,0.01111111111111111,0.0,0.1
AP880414-0285,195,0.25,0.04897959183673469,0.1568627450980392,0.0,0.9929668785860423,0.03179824561403508,0.0,0.5,0.0
AP880718-0115,147,0.0,0.0,0.0,0.0,0.9868705128675888,0.00423728813559322,0.018361581920903952,0.1,0.3
AP880420-0181,127,0.2,0.03125,0.08333333333333333,0.0,0.9940350464679266,0.013535353535353536,0.00808080808080808,0.4,0.2
AP880711-0175,172,0.0,0.0,0.0,0.0,0.9907343938331135,0.0,0.025,0.0,0.1
AP880711-0175,191,0.0,0.0,0.0,0.0,0.9929956165079005,0.0,0.003937007874015748,0.0,0.1
AP891212-0051,184,0.0,0.0,0.0,0.0,0.990706052957073,0.0,0.06150793650793651,0.0,0.5
AP890629-0030,106,0.0,0.0,0.0,0.0,0.9931193290642916,0.02127659574468085,0.07109929078014185,0.1,0.5
AP880313-0097,187,0.16666666666666666,0.027777777777777776,0.07692307692307693,0.0,0.9926223099360687,0.0,0.0060090702947845805,0.0,0.3
AP880324-0305,172,0.0,0.0,0.0,0.0,0.9918180567628692,0.0,0.025,0.0,0.1
AP880324-0305,173,0.5,0.5,0.1875,0.0,0.9936967615120758,0.04926108374384237,0.043295019157088124,1.0,0.9
AP880723-0185,169,0.2,0.08333333333333333,0.14285714285714285,0.0,0.9899124421070853,0.0,0.03645833333333333,0.0,0.2
AP890802-0190,189,0.0,0.0,0.0,0.0,0.99301671742783,0.0011337868480725624,0.006585861857970702,0.1,0.8
AP890403-0101,153,0.125,0.16666666666666666,0.23232323232323232,0.0,0.9913969904672342,0.0,0.12963320463320463,0.0,0.6
AP890403-0101,193,0.0,0.0,0.0,0.0,0.9852393185195936,0.0,0.08333333333333333,0.0,1.0
AP890403-0101,181,0.0,0.0,0.0,0.0,0.9895981647190377,0.0,0.02,0.0,0.1
AP890403-0101,147,0.0,0.0,0.0,0.0,0.9859326666365366,0.0,0.018361581920903952,0.0,0.3
AP880811-0157,156,0.0,0.0,0.0,0.0,0.9911979424183704,0.0,0.020329485329485326,0.0,0.8
AP881206-0088,189,0.25,0.06666666666666667,0.09259259259259259,0.05263157894736842,0.9927935276835672,0.006894503833279345,0.006585861857970702,0.7,0.8
AP880220-0125,114,0.25,0.125,0.0967741935483871,0.05263157894736842,0.99425676662016,0.0,0.0,0.0,0.0
AP880531-0026,127,0.0,0.0,0.0,0.0,0.9964192833560607,0.0006060606060606061,0.00808080808080808,0.1,0.2
AP891229-0186,147,0.16666666666666666,0.041666666666666664,0.08771929824561403,0.0,0.993307835459221,0.028288942695722356,0.018361581920903952,0.5,0.3
AP880310-0226,189,0.0,0.0,0.0,0.0,0.9941433616773647,0.0011337868480725624,0.006585861857970702,0.1,0.8
AP880803-0103,110,0.25,0.20370370370370372,0.29464285714285715,0.0,0.9908337638272721,0.013910422049956933,0.010071367048111233,0.6,0.6
AP890104-0157,119,0.0,0.0,0.0,0.0,0.991289625050202,0.004233911137676828,0.013966925682406853,0.3,0.5
